Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles
Decline Chest Press Machine,Strength,Chest,Push,Intermediate,Chest Press Machine,"Press the handles together, focusing on your lower chest.",Adjust machine settings for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Lying Chest Press Machine,Strength,Chest,Push,Intermediate,Chest Press Machine,"Lie down and press the handles together, focusing on your chest.",Adjust machine settings for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Wall Push-up,Strength,Chest,Push,Beginner,,Perform a push-up against the wall.,Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Cable Lying Triceps Extensions,Strength,Triceps,Extension,Intermediate,Cable Machine,"Lie down and extend the cable, focusing on your triceps.",Adjust cable height for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Single Arm Circles,Strength,Shoulders,Rotation,Beginner,,Perform small circles with one arm extended to the side.,Increase speed for more intensity.,Keep your core engaged.,Builds shoulder endurance.,Dynamic.,Warm-up,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Lying Dumbbell Leg Curl,Strength,Hamstrings,Curl,Intermediate,Dumbbells,Lie on your stomach and curl the dumbbells with your legs.,Use different weights for variation.,Keep your core engaged.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back"
Standing Barbell Calf Raise,Strength,Calves,Extension,Intermediate,Barbell,Stand and press up onto your toes with a barbell on your shoulders.,Use different weights for variation.,Keep your core engaged.,Builds calf strength.,Controlled.,Main workout,Strength,Gastrocnemius,Soleus,Tibialis Anterior,"Core, Lower Back"
Warrior 3 Pose,Yoga,Full Body,Balance,Intermediate,,Stand on one leg and extend your other leg and arms out.,Use a block for support.,Keep your core engaged.,Improves balance and strength.,Static.,Cool-down,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Humble Warrior Pose,Yoga,Full Body,Balance,Intermediate,,Step forward into a lunge and fold forward over your front leg.,Use a block for support.,Keep your core engaged.,Stretches the legs and hips.,Static.,Cool-down,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Reverse Warrior Pose (Viparita Virabhadrasana),Yoga,Full Body,Balance,Intermediate,,Step forward into a lunge and reach your arm overhead.,Use a block for support.,Keep your core engaged.,Stretches the legs and hips.,Static.,Cool-down,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Ustrasana,Yoga,Full Body,Flexion,Intermediate,,"Kneel and arch your back, reaching for your heels.",Use a block for support.,Keep your core engaged.,Stretches the front body.,Static.,Cool-down,Stability,Erector Spinae,Glutes,Rectus Abdominis,"Core, Lower Back"
Utthita Trikonasana (Extended Triangle Pose),Yoga,Full Body,Balance,Intermediate,,Step your feet wide apart and reach one hand to your shin and the other to the sky.,Use a block for support.,Keep your core engaged.,Stretches the legs and sides of the body.,Static.,Cool-down,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Zercher Carry,Strength,Full Body,Carry,Advanced,Barbell,Hold the barbell in the crook of your elbows and walk.,Use different weights for variation.,Keep your core engaged.,Builds full body strength.,Controlled.,Main workout,Strength,Forearm Flexors,Biceps,,"Core, Lower Back"
Wall Walk,Strength,Full Body,Push,Advanced,,Start in a push-up position with your feet against the wall and walk your feet up the wall and your hands closer to the wall.,Increase speed for more intensity.,Keep your core engaged.,Builds full body strength.,Controlled.,Main workout,Stability,Deltoids,"Triceps, Pectorals",Latissimus Dorsi,"Core, Scapular Stabilizers"
One Arm Triceps Pushdown,Strength,Triceps,Push,Intermediate,Cable Machine,"Extend the cable with one arm, focusing on your triceps.",Adjust cable height for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Kettlebell Hang Clean,Strength,Full Body,Pull,Intermediate,Kettlebell,Clean the kettlebell to your shoulder from a hang position.,Use different weights for variation.,Keep your core engaged.,Builds full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Dragon Flag,Strength,Abs,Flexion,Advanced,,"Lie on your back and raise your body up into a straight line, balancing on your shoulders.",Use ankle weights for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Dumbbell Power Clean,Strength,Full Body,Pull,Intermediate,Dumbbells,Clean the dumbbells to your shoulders.,Use different weights for variation.,Keep your core engaged.,Builds full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Dumbbell Devil Press,Strength,Full Body,Push,Advanced,Dumbbells,Perform a burpee with dumbbells and press them overhead.,Use different weights for variation.,Keep your core engaged.,Builds full body strength.,Controlled.,Main workout,Power,Deltoids,"Triceps, Quadriceps",Latissimus Dorsi,"Core, Lower Back"
Ab Coaster Machine,Strength,Abs,Flexion,Intermediate,Ab Coaster Machine,"Kneel and pull the handles down, focusing on your abs.",Adjust machine settings for variation.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,,Erector Spinae,"Core, Lower Back"
Overhead Shrug,Strength,Shoulders,Shrug,Intermediate,Barbell,Hold the barbell overhead and shrug your shoulders.,Use different weights for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Upper Trapezius,,Lower Trapezius,"Core, Scapular Stabilizers"
Overhead Squat,Strength,Full Body,Squat,Advanced,Barbell,Hold the barbell overhead and squat down.,Use different weights for variation.,Keep your core engaged.,Builds full body strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Table Inverted Row,Strength,Back,Pull,Intermediate,Table,Lie under a table and pull your chest to the table.,Use different grips for variation.,Keep your core engaged.,Builds back and bicep strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Chair Dips,Strength,Triceps,Push,Beginner,Chair,Sit on the edge of a chair and dip down.,Use a weight belt for added resistance.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Reverse Hyperextension Machine,Strength,Lower Back,Extension,Intermediate,Reverse Hyperextension Machine,Lie face down on the machine and lift your legs.,Adjust machine settings for variation.,Keep your core engaged.,Builds lower back strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back"
Stability Ball Knee Tuck,Strength,Abs,Flexion,Intermediate,Stability Ball,Start in a plank position with your feet on the ball and tuck your knees to your chest.,Use a smaller ball for more difficulty.,Keep your core engaged.,Builds core strength and stability.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Smith Machine Hex Press,Strength,Chest,Push,Intermediate,Smith Machine,"Press the bar with your hands close together, focusing on your chest.",Adjust machine settings for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Close-grip Incline Dumbbell Press,Strength,Chest,Push,Intermediate,Dumbbells,Lie on an incline bench and press the dumbbells with your hands close together.,Use different weights for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Hanging Knee Raises,Strength,Abs,Flexion,Intermediate,Pull-Up Bar,Hang from the bar and raise your knees to your chest.,Use ankle weights for added resistance.,Keep your core engaged.,Builds lower abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Hanging Side Knee Raises,Strength,Abs,Flexion,Intermediate,Pull-Up Bar,Hang from the bar and raise your knees to the side.,Use ankle weights for added resistance.,Keep your core engaged.,Builds oblique strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Smith Machine Shrug,Strength,Shoulders,Shrug,Intermediate,Smith Machine,"Shrug the barbell up, focusing on your traps.",Adjust machine settings for variation.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Upper Trapezius,,Lower Trapezius,"Core, Scapular Stabilizers"
Hanging Windshield Wiper,Strength,Abs,Rotation,Advanced,Pull-Up Bar,Hang from the bar and rotate your legs from side to side.,Use ankle weights for added resistance.,Keep your core engaged.,Builds core strength and flexibility.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back"
Toes to Bar,Strength,Abs,Flexion,Advanced,Pull-Up Bar,Hang from the bar and raise your toes to the bar.,Use ankle weights for added resistance.,Keep your core engaged.,Builds core strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Weighted Hanging Knee Raises,Strength,Abs,Flexion,Advanced,Pull-Up Bar,Hang from the bar and raise your knees to your chest with a weight belt.,Use different weights for variation.,Keep your core engaged.,Builds lower abdominal strength.,Controlled.,Main workout,Strength,Rectus Abdominis,Hip Flexors,Erector Spinae,"Core, Lower Back"
Kneeling Push-up,Strength,Chest,Push,Beginner,,Perform a push-up on your knees.,Increase speed for more intensity.,Keep your core engaged.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Lying Cable Curl,Strength,Biceps,Curl,Intermediate,Cable Machine,Lie on your back and curl the cable.,Adjust cable height for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Zottman Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,Curl the dumbbells up with a supinated grip and lower with a pronated grip.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,"Biceps, Brachialis",Forearm Flexors,Triceps,"Core, Scapular Stabilizers"
Dumbbell Reverse Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,Curl the dumbbells with a reverse grip.,Use different weights for variation.,Keep your elbows close to your body.,Builds bicep and forearm strength.,Controlled.,Main workout,Strength,Forearm Extensors,Brachialis,Forearm Flexors,"Core, Scapular Stabilizers"
Seated Close-Grip Concentration Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,"Sit and curl the dumbbell with a close grip, focusing on one arm at a time.",Use different weights for variation.,Keep your core engaged.,Isolates and builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Biceps Leg Concentration Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,Sit with your elbow on your thigh and curl the dumbbell.,Use different weights for variation.,Keep your core engaged.,Isolates and builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Prone Incline Barbell Curl,Strength,Biceps,Curl,Intermediate,Barbell,Lie face down on an incline bench and curl the barbell.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Overhead Cable Curl,Strength,Biceps,Curl,Intermediate,Cable Machine,"Curl the cable overhead, focusing on your biceps.",Adjust cable height for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Seated Hammer Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,Sit and curl the dumbbells with a neutral grip.,Use different weights for variation.,Keep your core engaged.,Builds bicep and forearm strength.,Controlled.,Main workout,Strength,Brachialis,Biceps,Triceps,"Core, Scapular Stabilizers"
Seated Biceps Curl,Strength,Biceps,Curl,Intermediate,Dumbbells,Sit and curl the dumbbells.,Use different weights for variation.,Keep your core engaged.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Seated One-Arm Dumbbell Triceps Extension,Strength,Triceps,Extension,Intermediate,Dumbbells,"Sit and extend one dumbbell overhead, focusing on your triceps.",Use different weights for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Seated Dumbbell Triceps Extension,Strength,Triceps,Extension,Intermediate,Dumbbells,"Sit and extend two dumbbells overhead, focusing on your triceps.",Use different weights for variation.,Keep your core engaged.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Cable One Arm Lat Pulldown,Strength,Back,Pull,Intermediate,Cable Machine,"Pull the cable down with one arm, focusing on your lats.",Adjust cable height for variation.,Keep your core engaged.,Builds back and bicep strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Decline Cable Fly,Strength,Chest,Fly,Intermediate,Cable Machine,"Fly the cables together on a decline bench, focusing on your chest.",Adjust bench angle for variation.,Keep your core engaged.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Single Arm Cable Preacher Curl,Strength,Biceps,Curl,Intermediate,Cable Machine,Curl the cable with one arm on a preacher bench.,Adjust cable height for variation.,Keep your core engaged.,Isolates and builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
